framework,action_category,energy_action
Playwright,input text,0.4791011809523765
Playwright,input text,0.4520065976190818
Playwright,input text,0.4845324309523265
Playwright,input text,0.47321826428588015
Playwright,input text,0.42910409761903323
Playwright,input text,0.42993451428570995
Playwright,input text,0.4828478476190546
Playwright,input text,0.4840970142857241
Playwright,scroll,0.4012236809522419
Playwright,scroll,0.4141032642857027
Playwright,scroll,0.41743534761904033
Playwright,scroll,0.4128499309523808
Playwright,scroll,0.41164243095223474
Playwright,scroll,0.42914618095222196
Playwright,scroll,0.39743451428570975
Playwright,scroll,0.41873368095220764
Playwright,scroll,0.4078911809522392
Playwright,scroll,0.4449853476188686
Playwright,scroll,0.41659743095238944
Playwright,scroll,0.43405701428586146
Playwright,scroll,0.42825909761907327
Playwright,scroll,0.40281034761918344
Playwright,scroll,0.4432603476190689
Playwright,scroll,0.421602014285707
Playwright,scroll,0.42785368095236803
Playwright,scroll,0.4041036809523678
Playwright,scroll,0.3982649309523866
Playwright,scroll,0.4533265976188415
Playwright,scroll,0.41576368095239075
Playwright,scroll,0.43207409761884996
Playwright,scroll,0.419933264285714
Playwright,scroll,0.40492868095239654
Playwright,scroll,0.4286778476190661
Playwright,scroll,0.41455701428557534
Playwright,scroll,0.40659659761905886
Playwright,scroll,0.4337353476188686
Playwright,scroll,0.40581118095222757
Playwright,scroll,0.4241003476190459
Playwright,scroll,0.40122826428555963
Playwright,scroll,0.4107703476190346
Playwright,scroll,0.42868368095237935
Playwright,scroll,0.414883680952551
Playwright,scroll,0.41696701428588445
Puppeteer,refresh,0.3572106530612245
Puppeteer,refresh,0.2600749387755101
Puppeteer,refresh,0.27114172448979595
Puppeteer,refresh,0.26810886734693873
Puppeteer,refresh,0.2636436887755102
Puppeteer,refresh,0.26616726020408643
Puppeteer,refresh,0.26417779591836693
Puppeteer,refresh,0.2507613673469336
Puppeteer,refresh,0.2665065459183685
Puppeteer,refresh,0.2654320816326536
Puppeteer,refresh,0.2667829744897997
Puppeteer,refresh,0.27277547448980083
Puppeteer,refresh,0.27471583163265323
Puppeteer,refresh,0.26042440306122344
Puppeteer,refresh,0.26185797448979586
Puppeteer,refresh,0.26312547448979945
Puppeteer,refresh,0.2653083316326493
Puppeteer,refresh,0.2634824387755137
Puppeteer,refresh,0.2713479744898011
Puppeteer,refresh,0.2657801173469374
Puppeteer,refresh,0.26544886734694273
Puppeteer,refresh,0.2606149387755115
Puppeteer,refresh,0.27744690306123077
Puppeteer,refresh,0.26937886734694294
Puppeteer,refresh,0.27524993877550996
Puppeteer,refresh,0.26312761734694273
Puppeteer,refresh,0.2641790459183673
Puppeteer,refresh,0.26183601020407715
Puppeteer,refresh,0.2697149387755101
Puppeteer,refresh,0.2677486887755097
Puppeteer,refresh,0.272750831632653
Puppeteer,refresh,0.2729297602040817
Puppeteer,refresh,0.26474101020408686
Puppeteer,refresh,0.26953654591836723
Puppeteer,refresh,0.2693617244897967
Puppeteer,left click,0.11087590408163056
Puppeteer,left click,0.11424290408163257
Puppeteer,left click,0.10496676122449167
Puppeteer,left click,0.10531426122448968
Puppeteer,left click,0.10639433265306289
Puppeteer,left click,0.10867126122448965
Puppeteer,left click,0.1015289040816326
Puppeteer,left click,0.11167190408163266
Puppeteer,left click,0.10288818979591878
Puppeteer,left click,0.10867154693877544
Puppeteer,left click,0.10609261836734536
Puppeteer,left click,0.10495876122449002
Puppeteer,left click,0.10274418979591857
Puppeteer,left click,0.10123497551020239
Puppeteer,left click,0.10596568979592003
Puppeteer,left click,0.10589440408163435
Puppeteer,left click,0.10824361836734701
Puppeteer,left click,0.10632240408163422
Puppeteer,left click,0.10832283265306292
Puppeteer,left click,0.1080382612244917
Puppeteer,left click,0.10924240408163247
Puppeteer,left click,0.10503811836734879
Puppeteer,left click,0.10560776122449127
Puppeteer,left click,0.10310961836734882
Puppeteer,left click,0.11252947551020419
Puppeteer,left click,0.1058862612244898
Puppeteer,left click,0.10460033265306123
Puppeteer,left click,0.11532326122449155
Puppeteer,left click,0.10444847551020221
Puppeteer,left click,0.10430568979591653
Puppeteer,left click,0.10623340408163065
Puppeteer,left click,0.10608990408163052
Puppeteer,left click,0.10403776122449157
Puppeteer,left click,0.1021718326530612
Puppeteer,left click,0.1020291897959184
Puppeteer,right click,0.10551950840336512
Puppeteer,right click,0.1019889201680708
Puppeteer,right click,0.0965293613445376
Puppeteer,right click,0.10668039075630312
Puppeteer,right click,0.09680568487394574
Puppeteer,right click,0.10004230252100486
Puppeteer,right click,0.10048244957982815
Puppeteer,right click,0.10050171428571444
Puppeteer,right click,0.10388303781512598
Puppeteer,right click,0.08976553781512604
Puppeteer,right click,0.09548318487394596
Puppeteer,right click,0.10169524369748259
Puppeteer,right click,0.09474627310923975
Puppeteer,right click,0.10476450840336111
Puppeteer,right click,0.09726553781512604
Puppeteer,right click,0.10461730252100813
Puppeteer,right click,0.09520700840336138
Puppeteer,right click,0.10151171428571049
Puppeteer,right click,0.09890289075630648
Puppeteer,right click,0.0999130378151261
Puppeteer,right click,0.09915980252100481
Puppeteer,right click,0.09772392016807072
Puppeteer,right click,0.10095936134454134
Puppeteer,right click,0.09697362605042056
Puppeteer,right click,0.10018936134453425
